epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_positive_tail_loss,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_active_triplet_ratio,val_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,early_stop_best_selection_score,no_improve_epochs
1,0.1757,0.1209,0.001718,0.3015,0.2358,0.004996,0.004946,0.1601,0.05612,0.6199,0.789,1.202,0.008564,0.0005,0.9848,0.1574,0.2793,0.3967,8192,0,1,0.0002907,0.9347,0.9984,0.01615,0.4924,0.3633,0.4062,0.06799,0.003614,256,7,256,32,8192,0.4976,0.05088,0,0.824,0.824,0
2,0.1372,0.1007,0.002323,0.2206,0.1293,0.007384,0.008752,0.1482,0.06864,0.7734,0.7583,1.199,0.00746,0.001,0.9698,0.1584,0.286,0.3947,8192,0,1,0.0003704,0.9313,0.9986,0.01634,0.4929,0.3652,0.4082,0.0675,0.003469,256,7,256,32,8192,0.4956,0.04963,0,0.8229,0.824,1
3,0.1225,0.08858,0.002547,0.2072,0.1162,0.007118,0.009068,0.1428,0.06735,0.7945,0.7437,1.202,0.006946,0.0009999,0.955,0.159,0.2852,0.3926,8192,0,1,0.0003345,0.938,0.9988,0.01567,0.4927,0.3652,0.4102,0.06396,0.003304,256,7,256,32,8192,0.4964,0.04993,0,0.8229,0.824,2
4,0.1092,0.07679,0.002742,0.1982,0.1086,0.007012,0.009184,0.1373,0.0669,0.8068,0.7287,1.207,0.006406,0.0009996,0.9405,0.1598,0.2852,0.3926,8192,0,1,0.0003226,0.9354,0.9989,0.01605,0.4932,0.3672,0.4102,0.06567,0.00339,256,7,256,32,8192,0.4959,0.04865,0,0.8229,0.824,3
5,0.1059,0.07463,0.002962,0.192,0.1025,0.007055,0.009373,0.1345,0.0671,0.8168,0.7206,1.205,0.006321,0.000999,0.9261,0.1597,0.2832,0.3908,8192,0,1,0.0002748,0.9331,0.9989,0.01459,0.4929,0.3672,0.4102,0.06946,0.003309,256,7,256,32,8192,0.4938,0.04918,0,0.8232,0.824,4
6,0.1001,0.06972,0.003183,0.1868,0.09819,0.007169,0.0095,0.1315,0.06763,0.8239,0.712,1.205,0.00605,0.0009982,0.912,0.1599,0.2832,0.3906,8192,0,1,0.000235,0.9417,0.9989,0.01407,0.4931,0.3672,0.4102,0.06677,0.003211,256,7,256,32,8192,0.495,0.04829,0,0.8232,0.824,5
7,0.09516,0.06546,0.003318,0.1824,0.09462,0.007135,0.009615,0.1289,0.06742,0.8298,0.7048,1.206,0.005817,0.0009972,0.8981,0.1601,0.2832,0.3887,8192,0,1,0.0002907,0.9337,0.999,0.01343,0.4937,0.3672,0.4121,0.06555,0.003126,256,7,256,32,8192,0.4949,0.0462,0,0.8233,0.824,6
8,0.09214,0.06294,0.003414,0.1794,0.09214,0.007165,0.009611,0.1272,0.06756,0.8339,0.6998,1.207,0.005608,0.000996,0.8844,0.1604,0.2832,0.3828,8192,0,1,0.0002748,0.9352,0.9991,0.01375,0.4938,0.3672,0.4121,0.06604,0.003048,256,7,256,32,8192,0.4955,0.04581,0,0.8233,0.824,7
9,0.08949,0.06073,0.003511,0.1767,0.08998,0.007181,0.009653,0.1256,0.06767,0.8375,0.695,1.207,0.005534,0.0009945,0.871,0.1612,0.2871,0.3848,8192,0,1,0.0003106,0.9342,0.999,0.01323,0.494,0.3672,0.4121,0.06714,0.003065,256,7,256,32,8192,0.4952,0.04575,0,0.8226,0.824,8
10,0.08706,0.05867,0.003613,0.1744,0.08808,0.007209,0.009722,0.1242,0.06781,0.8407,0.6911,1.207,0.005325,0.0009929,0.8577,0.1609,0.286,0.3848,8192,0,1,0.0003505,0.9282,0.9991,0.01343,0.4932,0.3672,0.4121,0.06616,0.003014,256,7,256,32,8192,0.4955,0.04819,0,0.8226,0.824,9
11,0.08471,0.05661,0.003665,0.1725,0.08673,0.007218,0.009784,0.1229,0.06783,0.843,0.6873,1.208,0.005206,0.000991,0.8446,0.1606,0.2871,0.3809,8192,0,1,0.0002708,0.9314,0.9991,0.01264,0.4934,0.3672,0.4121,0.0647,0.00291,256,7,256,32,8192,0.4945,0.04755,0,0.8226,0.824,10
12,0.08278,0.05499,0.003731,0.1706,0.08526,0.007213,0.009801,0.1217,0.06774,0.8455,0.6837,1.208,0.005048,0.0009889,0.8318,0.1604,0.2852,0.3791,8192,0,1,0.0002628,0.938,0.9991,0.01234,0.4937,0.3672,0.4121,0.06494,0.00293,256,7,256,32,8192,0.4963,0.04697,0,0.823,0.824,11
13,0.08092,0.05342,0.0038,0.1687,0.08386,0.007235,0.009883,0.1205,0.06793,0.8478,0.6801,1.208,0.00496,0.0009866,0.8191,0.161,0.2871,0.377,8192,0,1,0.0003027,0.9315,0.9992,0.0117,0.4939,0.3672,0.4121,0.06543,0.002829,256,7,256,32,8192,0.4958,0.04606,0,0.8226,0.824,12
14,0.07981,0.05252,0.003859,0.1674,0.08282,0.007297,0.009889,0.1198,0.0682,0.8496,0.678,1.208,0.004902,0.000984,0.8066,0.1609,0.2871,0.3791,8192,0,1,0.0003027,0.9338,0.9992,0.01223,0.4937,0.3672,0.4121,0.06555,0.002906,256,7,256,32,8192,0.4953,0.04695,0,0.8226,0.824,13
15,0.07918,0.05204,0.003887,0.1664,0.08201,0.007287,0.009925,0.1191,0.06812,0.851,0.676,1.208,0.004894,0.0009813,0.7943,0.1612,0.2852,0.3809,8192,0,1,0.0003186,0.9316,0.9992,0.01305,0.4936,0.3672,0.4102,0.0675,0.002896,256,7,256,32,8192,0.4961,0.04608,0,0.8228,0.824,14
16,0.07744,0.05047,0.00393,0.1652,0.08137,0.007275,0.009903,0.1181,0.06812,0.852,0.6731,1.209,0.004689,0.0009783,0.7822,0.1609,0.2832,0.3771,8192,0,1,0.0002907,0.9336,0.9993,0.01162,0.494,0.3672,0.4121,0.0658,0.002832,256,7,256,32,8192,0.4975,0.04574,0,0.8233,0.824,15
17,0.07694,0.05011,0.003981,0.1643,0.08061,0.00732,0.009965,0.1176,0.06831,0.8533,0.6716,1.209,0.004706,0.0009751,0.7703,0.1604,0.2821,0.375,8192,0,1,0.0002867,0.9366,0.9992,0.01163,0.4934,0.3672,0.4102,0.06616,0.002829,256,7,256,32,8192,0.4955,0.04745,0,0.8234,0.824,16
