epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
1,0.6057,0.02641,1.094,1.296,0.278,0.5444,0.9212,1.401,1.109,0.0003744,0.9351,0.7876,8192,0,0.02667,0.7876,0
2,0.431,0.0128,0.9266,1.187,0.253,0.5162,0.9008,1.395,1.104,0.0003823,0.9384,0.794,8192,0,0.05333,0.794,0
3,0.3791,0.009871,0.8798,1.146,0.2384,0.5135,0.9057,1.396,1.119,0.0002867,0.9414,0.7955,8192,0,0.08,0.794,1
4,0.3459,0.008127,0.8496,1.115,0.2287,0.5058,0.879,1.398,1.121,0.0001513,0.941,0.7995,8192,0,0.07998,0.7995,0
5,0.3212,0.006836,0.8252,1.091,0.2319,0.505,0.8917,1.386,1.12,0.000219,0.9441,0.7971,8192,0,0.07992,0.7995,1
6,0.3034,0.006071,0.81,1.074,0.2238,0.5119,0.9055,1.396,1.137,0.000219,0.9453,0.7973,8192,0,0.07981,0.7995,2
7,0.2896,0.005602,0.8023,1.061,0.2237,0.514,0.9031,1.396,1.139,0.0001593,0.9465,0.7973,8192,0,0.07967,0.7995,3
8,0.2793,0.005078,0.7908,1.047,0.2203,0.5144,0.8984,1.401,1.144,0.0001474,0.947,0.7984,8192,0,0.07948,0.7995,4
9,0.2718,0.004917,0.7873,1.043,0.2202,0.5148,0.9148,1.399,1.146,0.0001274,0.9476,0.797,8192,0,0.07925,0.7995,5
10,0.2663,0.004563,0.7822,1.029,0.2137,0.5137,0.9165,1.403,1.152,0.000231,0.9454,0.798,8192,0,0.07898,0.7995,6
11,0.2591,0.004411,0.7769,1.024,0.2188,0.5191,0.9147,1.402,1.153,0.0002071,0.942,0.797,8192,0,0.07867,0.7995,7
12,0.2544,0.00427,0.775,1.021,0.2157,0.5156,0.929,1.401,1.152,0.0002151,0.9446,0.7965,8192,0,0.07832,0.7995,8
13,0.2492,0.004097,0.7698,1.017,0.214,0.5129,0.9137,1.402,1.151,0.0002429,0.9401,0.7982,8192,0,0.07792,0.7995,9
14,0.2462,0.004001,0.7697,1.009,0.2176,0.5234,0.9359,1.403,1.159,0.0002509,0.9395,0.7951,8192,0,0.07749,0.7995,10
15,0.2432,0.003935,0.7671,1.014,0.2125,0.5188,0.9265,1.405,1.161,0.0001912,0.9469,0.7971,8192,0,0.07702,0.7995,11
16,0.2397,0.003766,0.7634,1.007,0.2158,0.5207,0.9223,1.403,1.155,0.0001951,0.9409,0.7967,8192,0,0.07651,0.7995,12
17,0.2363,0.003724,0.7643,0.9992,0.216,0.5226,0.9426,1.403,1.161,0.0003584,0.9366,0.7949,8192,0,0.07596,0.7995,13
18,0.2345,0.003631,0.7622,1.001,0.2129,0.5148,0.9232,1.403,1.155,0.0002111,0.9353,0.7975,8192,0,0.07538,0.7995,14
19,0.2321,0.003618,0.7617,0.9973,0.2172,0.5239,0.9328,1.404,1.16,0.0002469,0.941,0.7955,8192,0,0.07476,0.7995,15
20,0.2313,0.003619,0.762,0.9986,0.2174,0.5247,0.9348,1.405,1.159,0.0002788,0.9407,0.7953,8192,0,0.0741,0.7995,16
21,0.2276,0.003444,0.7565,0.9929,0.2134,0.5218,0.9344,1.405,1.163,0.0002987,0.9392,0.796,8192,0,0.0734,0.7995,17
22,0.226,0.003408,0.7566,0.9907,0.2165,0.5207,0.9239,1.404,1.155,0.0002429,0.9403,0.7966,8192,0,0.07267,0.7995,18
23,0.2248,0.003445,0.7572,0.9908,0.216,0.5296,0.941,1.406,1.171,0.0002509,0.9369,0.7946,8192,0,0.07191,0.7995,19
24,0.2225,0.003416,0.7581,0.9888,0.2161,0.5298,0.9392,1.406,1.169,0.0002509,0.9364,0.7948,8192,0,0.07111,0.7995,20
25,0.2222,0.003307,0.7559,0.9847,0.2152,0.5264,0.9324,1.406,1.166,0.0002389,0.936,0.7957,8192,0,0.07028,0.7995,21
26,0.2202,0.003258,0.7511,0.9911,0.2137,0.5212,0.9324,1.404,1.159,0.0002748,0.9368,0.7962,8192,0,0.06942,0.7995,22
27,0.2191,0.003354,0.7568,0.986,0.2143,0.525,0.9333,1.405,1.164,0.0002469,0.9423,0.7957,8192,0,0.06853,0.7995,23
28,0.2186,0.003204,0.7531,0.9831,0.2159,0.5266,0.9388,1.405,1.163,0.0002987,0.9384,0.795,8192,0,0.06761,0.7995,24
29,0.2164,0.003165,0.7501,0.9868,0.2139,0.5239,0.9311,1.404,1.163,0.0002031,0.9395,0.796,8192,0,0.06665,0.7995,25
