序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
1,features.0.0,Conv2d,"[1,1,32,32]","[1,32,32,32]",局部空间特征提取；Conv 1→32，kernel=3×3，stride=1×1，dilation=1×1，groups=1,288,288,294912,589824
2,features.0.1,BatchNorm2d,"[1,32,32,32]","[1,32,32,32]",批归一化，稳定特征分布；affine=True,64,64,,
3,features.0.2,ReLU,"[1,32,32,32]","[1,32,32,32]",ReLU 非线性激活,0,0,,
4,features.1.0,Conv2d,"[1,32,32,32]","[1,32,32,32]",局部空间特征提取；Conv 32→32，kernel=3×3，stride=1×1，dilation=1×1，groups=1,9216,9216,9437184,18874368
5,features.1.1,BatchNorm2d,"[1,32,32,32]","[1,32,32,32]",批归一化，稳定特征分布；affine=True,64,64,,
6,features.1.2,ReLU,"[1,32,32,32]","[1,32,32,32]",ReLU 非线性激活,0,0,,
7,features.2.0,Conv2d,"[1,32,32,32]","[1,64,16,16]",局部空间特征提取；Conv 32→64，kernel=3×3，stride=2×2，dilation=1×1，groups=1,18432,18432,4718592,9437184
8,features.2.1,BatchNorm2d,"[1,64,16,16]","[1,64,16,16]",批归一化，稳定特征分布；affine=True,128,128,,
9,features.2.2,ReLU,"[1,64,16,16]","[1,64,16,16]",ReLU 非线性激活,0,0,,
10,features.3.0,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,36864,9437184,18874368
11,features.3.1,BatchNorm2d,"[1,64,16,16]","[1,64,16,16]",批归一化，稳定特征分布；affine=True,128,128,,
12,features.3.2,ReLU,"[1,64,16,16]","[1,64,16,16]",ReLU 非线性激活,0,0,,
13,features.4.0,Conv2d,"[1,64,16,16]","[1,128,8,8]",局部空间特征提取；Conv 64→128，kernel=3×3，stride=2×2，dilation=1×1，groups=1,73728,73728,4718592,9437184
14,features.4.1,BatchNorm2d,"[1,128,8,8]","[1,128,8,8]",批归一化，稳定特征分布；affine=True,256,256,,
15,features.4.2,ReLU,"[1,128,8,8]","[1,128,8,8]",ReLU 非线性激活,0,0,,
16,features.5.0,Conv2d,"[1,128,8,8]","[1,128,8,8]",局部空间特征提取；Conv 128→128，kernel=3×3，stride=1×1，dilation=1×1，groups=1,147456,147456,9437184,18874368
17,features.5.1,BatchNorm2d,"[1,128,8,8]","[1,128,8,8]",批归一化，稳定特征分布；affine=True,256,256,,
18,features.5.2,ReLU,"[1,128,8,8]","[1,128,8,8]",ReLU 非线性激活,0,0,,
19,features.6,Dropout,"[1,128,8,8]","[1,128,8,8]",训练时随机失活，p=0.12,0,0,,
20,features.7,Conv2d,"[1,128,8,8]","[1,256,1,1]",可学习的全局空间投影；Conv 128→256，kernel=8×8，stride=1×1，dilation=1×1，groups=1,2097152,2097152,2097152,4194304
21,features.8,BatchNorm2d,"[1,256,1,1]","[1,256,1,1]",批归一化，稳定特征分布；affine=False,0,0,,
