epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
1,0.8131,0.03866,1.218,1.375,0.3967,0.6231,1.021,1.398,1.054,0.006113,0.7825,0.7578,8192,0,0.02667,0.7578,0
2,0.5755,0.01967,1.025,1.26,0.3209,0.5486,0.9554,1.396,1.053,0.002505,0.8577,0.779,8192,0,0.05333,0.779,0
3,0.5108,0.0151,0.9684,1.206,0.2859,0.5136,0.9295,1.393,1.057,0.001844,0.8916,0.788,8192,0,0.08,0.788,0
4,0.4731,0.01259,0.9358,1.165,0.2705,0.4949,0.8932,1.389,1.052,0.001143,0.8916,0.794,8192,0,0.07998,0.794,0
5,0.4464,0.01078,0.9114,1.136,0.2627,0.4977,0.9171,1.392,1.069,0.00145,0.9044,0.793,8192,0,0.07992,0.794,1
6,0.4277,0.009441,0.8928,1.109,0.253,0.4894,0.8996,1.394,1.07,0.001008,0.9043,0.7965,8192,0,0.07981,0.7965,0
7,0.4121,0.008431,0.8785,1.087,0.2501,0.4866,0.9019,1.393,1.071,0.001111,0.8989,0.7967,8192,0,0.07967,0.7965,1
8,0.3992,0.00769,0.8664,1.071,0.2493,0.4695,0.873,1.387,1.047,0.0009638,0.896,0.8002,8192,0,0.07948,0.8002,0
9,0.3886,0.007078,0.855,1.059,0.2401,0.4756,0.8786,1.396,1.071,0.0007487,0.9039,0.801,8192,0,0.07925,0.8002,1
10,0.3808,0.006472,0.8448,1.044,0.234,0.4681,0.8656,1.397,1.068,0.0007487,0.9148,0.8035,8192,0,0.07898,0.8035,0
11,0.3708,0.006045,0.8356,1.034,0.2351,0.4704,0.8699,1.395,1.072,0.0005974,0.9127,0.8027,8192,0,0.07867,0.8035,1
12,0.3642,0.005728,0.8293,1.029,0.2255,0.4682,0.877,1.402,1.08,0.0006969,0.9144,0.8041,8192,0,0.07832,0.8035,2
13,0.3564,0.005425,0.8225,1.018,0.2277,0.4668,0.8708,1.397,1.076,0.0006531,0.918,0.8039,8192,0,0.07792,0.8035,3
14,0.3512,0.005142,0.8175,1.012,0.2191,0.4576,0.8704,1.403,1.077,0.000693,0.9136,0.8064,8192,0,0.07749,0.8064,0
15,0.3458,0.004961,0.8128,1.01,0.224,0.4611,0.8808,1.401,1.072,0.0008005,0.9043,0.8045,8192,0,0.07702,0.8064,1
16,0.3398,0.004739,0.8066,1.004,0.2229,0.4611,0.8548,1.401,1.073,0.0005575,0.9167,0.8066,8192,0,0.07651,0.8064,2
17,0.3345,0.004617,0.804,0.9997,0.2221,0.4595,0.8686,1.399,1.072,0.0006969,0.9082,0.8056,8192,0,0.07596,0.8064,3
18,0.3306,0.004465,0.8018,0.9961,0.2232,0.4599,0.871,1.401,1.074,0.0008523,0.9066,0.8053,8192,0,0.07538,0.8064,4
19,0.3264,0.004326,0.7986,0.9913,0.2144,0.4539,0.8661,1.403,1.077,0.0006491,0.9197,0.8076,8192,0,0.07476,0.8064,5
20,0.3243,0.004203,0.7955,0.9893,0.2173,0.4464,0.8587,1.401,1.059,0.0008761,0.906,0.8083,8192,0,0.0741,0.8083,0
21,0.3191,0.004083,0.7911,0.9874,0.2145,0.449,0.8857,1.401,1.069,0.001027,0.8992,0.8063,8192,0,0.0734,0.8083,1
22,0.3167,0.003975,0.7897,0.9822,0.2152,0.4492,0.8575,1.401,1.067,0.0006651,0.9185,0.8084,8192,0,0.07267,0.8083,2
23,0.3134,0.003953,0.7878,0.9801,0.2168,0.4494,0.8662,1.399,1.066,0.0007806,0.9172,0.8073,8192,0,0.07191,0.8083,3
24,0.3101,0.003848,0.7864,0.9794,0.2145,0.4517,0.8677,1.402,1.072,0.000677,0.9115,0.8075,8192,0,0.07111,0.8083,4
25,0.3088,0.003794,0.7829,0.9781,0.2124,0.4515,0.8654,1.404,1.076,0.0007567,0.9126,0.8082,8192,0,0.07028,0.8083,5
26,0.3057,0.003655,0.7806,0.9733,0.2155,0.4494,0.8731,1.403,1.068,0.0008841,0.9049,0.8072,8192,0,0.06942,0.8083,6
27,0.3036,0.003642,0.7807,0.9721,0.2129,0.4548,0.8676,1.403,1.077,0.0007129,0.902,0.8075,8192,0,0.06853,0.8083,7
28,0.3018,0.003542,0.7789,0.9686,0.2147,0.4564,0.881,1.402,1.079,0.0009319,0.9159,0.8059,8192,0,0.06761,0.8083,8
29,0.2985,0.003488,0.7756,0.9694,0.2081,0.4483,0.8623,1.404,1.077,0.0007806,0.9108,0.8091,8192,0,0.06665,0.8083,9
30,0.2964,0.003529,0.7766,0.9693,0.2103,0.445,0.866,1.404,1.067,0.0008523,0.9099,0.8089,8192,0,0.06568,0.8083,10
31,0.2954,0.00347,0.776,0.9657,0.2038,0.4446,0.8594,1.405,1.078,0.000681,0.9124,0.8103,8192,0,0.06467,0.8103,0
32,0.2934,0.003447,0.7749,0.9674,0.2097,0.4514,0.8533,1.405,1.077,0.0006053,0.911,0.8094,8192,0,0.06364,0.8103,1
33,0.2902,0.003341,0.7717,0.9621,0.2101,0.449,0.8575,1.402,1.073,0.0006213,0.9137,0.809,8192,0,0.06258,0.8103,2
34,0.288,0.003215,0.7683,0.9587,0.2098,0.4399,0.8508,1.4,1.062,0.001103,0.8943,0.8101,8192,0,0.0615,0.8103,3
35,0.2864,0.003276,0.7695,0.9617,0.2034,0.4457,0.8584,1.406,1.081,0.0007965,0.8901,0.8103,8192,0,0.0604,0.8103,4
36,0.2845,0.003256,0.7672,0.9618,0.2101,0.4452,0.8654,1.398,1.07,0.0008363,0.8835,0.8084,8192,0,0.05927,0.8103,5
37,0.2837,0.00329,0.7687,0.9658,0.2047,0.4456,0.8461,1.403,1.075,0.0007766,0.8849,0.8108,8192,0,0.05813,0.8103,6
38,0.2809,0.003102,0.7651,0.9589,0.2036,0.4447,0.8661,1.404,1.078,0.0008961,0.9159,0.8096,8192,0,0.05697,0.8103,7
39,0.2787,0.003053,0.7621,0.9561,0.2016,0.4382,0.8533,1.403,1.069,0.0008761,0.8973,0.8113,8192,0,0.05579,0.8103,8
40,0.277,0.003001,0.7616,0.9535,0.2035,0.4468,0.8567,1.402,1.081,0.0007686,0.9078,0.81,8192,0,0.05459,0.8103,9
41,0.2767,0.003107,0.7649,0.9551,0.1997,0.4447,0.8602,1.404,1.083,0.0007686,0.8922,0.8105,8192,0,0.05338,0.8103,10
42,0.2733,0.00306,0.7617,0.9607,0.1991,0.4406,0.8533,1.403,1.078,0.0007168,0.9108,0.8114,8192,0,0.05215,0.8103,11
43,0.2724,0.00299,0.7591,0.9571,0.1986,0.441,0.8558,1.406,1.08,0.0007447,0.9071,0.8115,8192,0,0.05091,0.8103,12
44,0.2721,0.002973,0.7608,0.9517,0.1974,0.4399,0.8487,1.402,1.079,0.0006252,0.9103,0.8119,8192,0,0.04966,0.8119,0
45,0.2701,0.003047,0.7628,0.9562,0.2013,0.4468,0.8563,1.404,1.084,0.0006691,0.8997,0.8105,8192,0,0.0484,0.8119,1
46,0.2689,0.002898,0.7592,0.9503,0.1993,0.4457,0.8448,1.407,1.083,0.0006531,0.91,0.8119,8192,0,0.04713,0.8119,2
