序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
1,stem.0,Conv2d,"[1,1,32,32]","[1,16,32,32]",局部空间特征提取；Conv 1→16，kernel=3×3，stride=1×1，dilation=1×1，groups=1,144,144,147456,294912
2,stem.1,BatchNorm2d,"[1,16,32,32]","[1,16,32,32]",批归一化，稳定特征分布；affine=True,32,32,,
3,stem.2,ReLU6,"[1,16,32,32]","[1,16,32,32]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
4,features.0,InvertedResidual,"[1,16,32,32]","[1,16,32,32]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；带残差相加；计算量由子层统计,0,0,,
5,features.0.block.0,Conv2d,"[1,16,32,32]","[1,16,32,32]",逐通道空间特征提取；Conv 16→16，kernel=3×3，stride=1×1，dilation=1×1，groups=16,144,144,147456,294912
6,features.0.block.1,BatchNorm2d,"[1,16,32,32]","[1,16,32,32]",批归一化，稳定特征分布；affine=True,32,32,,
7,features.0.block.2,ReLU6,"[1,16,32,32]","[1,16,32,32]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
8,features.0.block.3,Conv2d,"[1,16,32,32]","[1,16,32,32]",通道投影与融合；Conv 16→16，kernel=1×1，stride=1×1，dilation=1×1，groups=1,256,256,262144,524288
9,features.0.block.4,BatchNorm2d,"[1,16,32,32]","[1,16,32,32]",批归一化，稳定特征分布；affine=True,32,32,,
10,features.1,InvertedResidual,"[1,16,32,32]","[1,24,16,16]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；不使用残差；计算量由子层统计,0,0,,
11,features.1.block.0,Conv2d,"[1,16,32,32]","[1,32,32,32]",通道投影与融合；Conv 16→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,512,512,524288,1048576
12,features.1.block.1,BatchNorm2d,"[1,32,32,32]","[1,32,32,32]",批归一化，稳定特征分布；affine=True,64,64,,
13,features.1.block.2,ReLU6,"[1,32,32,32]","[1,32,32,32]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
14,features.1.block.3,Conv2d,"[1,32,32,32]","[1,32,16,16]",逐通道空间特征提取；Conv 32→32，kernel=3×3，stride=2×2，dilation=1×1，groups=32,288,288,73728,147456
15,features.1.block.4,BatchNorm2d,"[1,32,16,16]","[1,32,16,16]",批归一化，稳定特征分布；affine=True,64,64,,
16,features.1.block.5,ReLU6,"[1,32,16,16]","[1,32,16,16]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
17,features.1.block.6,Conv2d,"[1,32,16,16]","[1,24,16,16]",通道投影与融合；Conv 32→24，kernel=1×1，stride=1×1，dilation=1×1，groups=1,768,768,196608,393216
18,features.1.block.7,BatchNorm2d,"[1,24,16,16]","[1,24,16,16]",批归一化，稳定特征分布；affine=True,48,48,,
19,features.2,InvertedResidual,"[1,24,16,16]","[1,24,16,16]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；带残差相加；计算量由子层统计,0,0,,
20,features.2.block.0,Conv2d,"[1,24,16,16]","[1,48,16,16]",通道投影与融合；Conv 24→48，kernel=1×1，stride=1×1，dilation=1×1，groups=1,1152,1152,294912,589824
21,features.2.block.1,BatchNorm2d,"[1,48,16,16]","[1,48,16,16]",批归一化，稳定特征分布；affine=True,96,96,,
22,features.2.block.2,ReLU6,"[1,48,16,16]","[1,48,16,16]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
23,features.2.block.3,Conv2d,"[1,48,16,16]","[1,48,16,16]",逐通道空间特征提取；Conv 48→48，kernel=3×3，stride=1×1，dilation=1×1，groups=48,432,432,110592,221184
24,features.2.block.4,BatchNorm2d,"[1,48,16,16]","[1,48,16,16]",批归一化，稳定特征分布；affine=True,96,96,,
25,features.2.block.5,ReLU6,"[1,48,16,16]","[1,48,16,16]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
26,features.2.block.6,Conv2d,"[1,48,16,16]","[1,24,16,16]",通道投影与融合；Conv 48→24，kernel=1×1，stride=1×1，dilation=1×1，groups=1,1152,1152,294912,589824
27,features.2.block.7,BatchNorm2d,"[1,24,16,16]","[1,24,16,16]",批归一化，稳定特征分布；affine=True,48,48,,
28,features.3,InvertedResidual,"[1,24,16,16]","[1,32,8,8]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；不使用残差；计算量由子层统计,0,0,,
29,features.3.block.0,Conv2d,"[1,24,16,16]","[1,48,16,16]",通道投影与融合；Conv 24→48，kernel=1×1，stride=1×1，dilation=1×1，groups=1,1152,1152,294912,589824
30,features.3.block.1,BatchNorm2d,"[1,48,16,16]","[1,48,16,16]",批归一化，稳定特征分布；affine=True,96,96,,
31,features.3.block.2,ReLU6,"[1,48,16,16]","[1,48,16,16]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
32,features.3.block.3,Conv2d,"[1,48,16,16]","[1,48,8,8]",逐通道空间特征提取；Conv 48→48，kernel=3×3，stride=2×2，dilation=1×1，groups=48,432,432,27648,55296
33,features.3.block.4,BatchNorm2d,"[1,48,8,8]","[1,48,8,8]",批归一化，稳定特征分布；affine=True,96,96,,
34,features.3.block.5,ReLU6,"[1,48,8,8]","[1,48,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
35,features.3.block.6,Conv2d,"[1,48,8,8]","[1,32,8,8]",通道投影与融合；Conv 48→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,1536,1536,98304,196608
36,features.3.block.7,BatchNorm2d,"[1,32,8,8]","[1,32,8,8]",批归一化，稳定特征分布；affine=True,64,64,,
37,features.4,InvertedResidual,"[1,32,8,8]","[1,32,8,8]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；带残差相加；计算量由子层统计,0,0,,
38,features.4.block.0,Conv2d,"[1,32,8,8]","[1,64,8,8]",通道投影与融合；Conv 32→64，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,2048,131072,262144
39,features.4.block.1,BatchNorm2d,"[1,64,8,8]","[1,64,8,8]",批归一化，稳定特征分布；affine=True,128,128,,
40,features.4.block.2,ReLU6,"[1,64,8,8]","[1,64,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
41,features.4.block.3,Conv2d,"[1,64,8,8]","[1,64,8,8]",逐通道空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=64,576,576,36864,73728
42,features.4.block.4,BatchNorm2d,"[1,64,8,8]","[1,64,8,8]",批归一化，稳定特征分布；affine=True,128,128,,
43,features.4.block.5,ReLU6,"[1,64,8,8]","[1,64,8,8]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
44,features.4.block.6,Conv2d,"[1,64,8,8]","[1,32,8,8]",通道投影与融合；Conv 64→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,2048,131072,262144
45,features.4.block.7,BatchNorm2d,"[1,32,8,8]","[1,32,8,8]",批归一化，稳定特征分布；affine=True,64,64,,
46,features.5,InvertedResidual,"[1,32,8,8]","[1,48,8,8]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；不使用残差；计算量由子层统计,0,0,,
