epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_positive_tail_loss,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_active_triplet_ratio,val_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,early_stop_best_selection_score,no_improve_epochs
1,0.1249,0.07356,0.001944,0.278,0.223,0.00533,0.005575,0.1225,0.05761,0.6379,0.6834,1.191,0.005346,0.0005,0.9848,0.1375,0.2539,0.3203,8192,0,1,0.0004659,0.9065,0.9998,0.006134,0.4973,0.3516,0.4062,0.06616,0.00164,256,7,256,32,8192,0.5006,0.03413,0,0.8332,0.8332,0
2,0.09192,0.06157,0.002467,0.1807,0.1067,0.008629,0.01017,0.1138,0.0742,0.8103,0.658,1.187,0.00431,0.001,0.9698,0.1385,0.2559,0.3223,8192,0,1,0.000446,0.9167,0.9998,0.005812,0.4977,0.3535,0.4082,0.06372,0.001567,256,7,256,32,8192,0.4965,0.03318,0,0.8329,0.8332,1
3,0.08346,0.05597,0.002492,0.1661,0.09258,0.007996,0.01059,0.1103,0.07137,0.8341,0.6466,1.189,0.004052,0.0009999,0.955,0.1387,0.2567,0.3223,8192,0,1,0.0004341,0.9082,0.9998,0.006839,0.4981,0.3535,0.4082,0.06421,0.001626,256,7,256,32,8192,0.4985,0.0309,0,0.8328,0.8332,2
4,0.07652,0.05065,0.002618,0.1573,0.08462,0.007905,0.01079,0.1069,0.07104,0.8475,0.6363,1.191,0.003754,0.0009996,0.9405,0.1395,0.2578,0.3262,8192,0,1,0.0003863,0.9091,0.9998,0.00638,0.498,0.3535,0.4102,0.06287,0.001618,256,7,256,32,8192,0.4989,0.03172,0,0.8325,0.8332,3
5,0.07104,0.04627,0.002778,0.1509,0.0791,0.007794,0.01092,0.1043,0.07051,0.8569,0.628,1.193,0.003497,0.000999,0.9261,0.1401,0.2567,0.3242,8192,0,1,0.0003704,0.9105,0.9998,0.006684,0.4979,0.3555,0.4102,0.06482,0.001606,256,7,256,32,8192,0.4996,0.03172,0,0.8325,0.8332,4
6,0.06687,0.043,0.002916,0.1457,0.07466,0.007809,0.01107,0.102,0.07058,0.8645,0.6208,1.195,0.003354,0.0009982,0.912,0.1406,0.2578,0.3262,8192,0,1,0.0003823,0.9177,0.9998,0.006452,0.498,0.3555,0.4102,0.06299,0.001659,256,7,256,32,8192,0.4985,0.03187,0,0.8322,0.8332,5
7,0.06336,0.04022,0.003038,0.1414,0.07108,0.007823,0.01115,0.1,0.07065,0.8707,0.6145,1.196,0.003167,0.0009972,0.8981,0.1411,0.2578,0.3262,8192,0,1,0.0004102,0.9088,0.9998,0.006292,0.498,0.3555,0.4102,0.0636,0.001612,256,7,256,32,8192,0.4993,0.03115,0,0.8321,0.8332,6
8,0.06142,0.0388,0.003131,0.1383,0.06843,0.007712,0.01114,0.09874,0.07015,0.8753,0.61,1.197,0.003058,0.000996,0.8844,0.1413,0.2578,0.3262,8192,0,1,0.0004221,0.8914,0.9998,0.006279,0.4979,0.3555,0.4102,0.06519,0.001658,256,7,256,32,8192,0.4991,0.03216,0,0.832,0.8332,7
9,0.05952,0.03741,0.003207,0.1353,0.06596,0.007737,0.01123,0.09736,0.07026,0.8796,0.6053,1.198,0.002974,0.0009945,0.871,0.1412,0.2578,0.3242,8192,0,1,0.0004341,0.899,0.9998,0.006141,0.4977,0.3555,0.4102,0.0647,0.00164,256,7,256,32,8192,0.4996,0.03304,0,0.832,0.8332,8
10,0.05805,0.03627,0.003269,0.1334,0.06428,0.007768,0.01129,0.09645,0.07037,0.8826,0.6024,1.197,0.002867,0.0009929,0.8577,0.1413,0.2578,0.3301,8192,0,1,0.0004102,0.9054,0.9998,0.006628,0.4981,0.3555,0.4102,0.06616,0.001671,256,7,256,32,8192,0.4993,0.03032,0,0.8321,0.8332,9
11,0.05561,0.03428,0.003324,0.1306,0.06228,0.007746,0.01137,0.0949,0.07028,0.8861,0.597,1.199,0.002765,0.000991,0.8446,0.1415,0.2578,0.3242,8192,0,1,0.0004261,0.8918,0.9998,0.006099,0.4983,0.3555,0.4121,0.06348,0.001575,256,7,256,32,8192,0.499,0.02933,0,0.8321,0.8332,10
12,0.05434,0.03329,0.003375,0.1288,0.06092,0.007762,0.01136,0.09402,0.07034,0.8885,0.594,1.198,0.002644,0.0009889,0.8318,0.1423,0.2598,0.3242,8192,0,1,0.0004182,0.9056,0.9998,0.006403,0.4983,0.3574,0.4121,0.06348,0.001638,256,7,256,32,8192,0.498,0.02982,0,0.8316,0.8332,11
13,0.05304,0.03228,0.003423,0.127,0.05956,0.00773,0.01145,0.09303,0.0702,0.8909,0.5905,1.199,0.002592,0.0009866,0.8191,0.1426,0.2598,0.3262,8192,0,1,0.0004381,0.9052,0.9998,0.006628,0.4981,0.3574,0.4121,0.06543,0.001654,256,7,256,32,8192,0.4988,0.03028,0,0.8315,0.8332,12
14,0.05209,0.03152,0.003481,0.1258,0.05863,0.007824,0.01145,0.09236,0.0706,0.8925,0.5882,1.2,0.002517,0.000984,0.8066,0.1426,0.2598,0.3242,8192,0,1,0.0004221,0.9106,0.9998,0.006223,0.4983,0.3555,0.4121,0.06323,0.001617,256,7,256,32,8192,0.499,0.02956,0,0.8316,0.8332,13
15,0.05147,0.03107,0.003516,0.1248,0.05773,0.007769,0.01148,0.09192,0.07033,0.8941,0.5867,1.2,0.002513,0.0009813,0.7943,0.1427,0.2598,0.3281,8192,0,1,0.0003664,0.8931,0.9998,0.006279,0.4981,0.3574,0.4121,0.06482,0.001622,256,7,256,32,8192,0.4993,0.03061,0,0.8315,0.8332,14
16,0.05021,0.03001,0.003546,0.1235,0.05691,0.007749,0.01148,0.09096,0.0703,0.8955,0.5835,1.2,0.002403,0.0009783,0.7822,0.1427,0.2598,0.3301,8192,0,1,0.0004022,0.9064,0.9998,0.006653,0.4985,0.3574,0.4121,0.06909,0.001672,256,7,256,32,8192,0.4991,0.02872,0,0.8316,0.8332,15
17,0.05009,0.03001,0.003579,0.1227,0.05628,0.007769,0.01152,0.09067,0.07036,0.8966,0.5824,1.2,0.002422,0.0009751,0.7703,0.1426,0.2598,0.3223,8192,0,1,0.0003863,0.9,0.9998,0.006295,0.4984,0.3574,0.4121,0.06653,0.001598,256,7,256,32,8192,0.4996,0.02926,0,0.8316,0.8332,16
18,0.04923,0.02931,0.003612,0.1217,0.05556,0.007801,0.01153,0.09011,0.07052,0.8979,0.5801,1.201,0.002377,0.0009717,0.7586,0.1436,0.2617,0.3263,8192,0,1,0.00045,0.9067,0.9998,0.006541,0.4985,0.3555,0.4121,0.06616,0.001676,256,7,256,32,8192,0.4988,0.02941,0,0.8311,0.8332,17
19,0.04846,0.02864,0.003641,0.1211,0.05509,0.007861,0.01157,0.08961,0.07077,0.8987,0.5787,1.201,0.002315,0.0009681,0.747,0.1431,0.2617,0.3223,8192,0,1,0.0004301,0.9136,0.9998,0.006115,0.4984,0.3555,0.4121,0.06335,0.001611,256,7,256,32,8192,0.4985,0.02929,0,0.8312,0.8332,18
20,0.04834,0.02859,0.00366,0.1207,0.05466,0.00782,0.01157,0.08948,0.07064,0.8995,0.578,1.201,0.00233,0.0009643,0.7357,0.1438,0.2598,0.3262,8192,0,1,0.0003982,0.8864,0.9998,0.006045,0.4983,0.3574,0.4121,0.06702,0.001623,256,7,256,32,8192,0.4994,0.02917,0,0.8314,0.8332,19
21,0.04726,0.02766,0.003677,0.1196,0.05414,0.007856,0.01161,0.08866,0.07074,0.9004,0.5751,1.201,0.00224,0.0009603,0.7244,0.1431,0.2598,0.3262,8192,0,1,0.0003783,0.9045,0.9998,0.006405,0.4983,0.3574,0.4121,0.06299,0.001601,256,7,256,32,8192,0.4986,0.02971,0,0.8315,0.8332,20
22,0.04673,0.02726,0.003696,0.1188,0.05353,0.007906,0.01166,0.08813,0.07103,0.9014,0.5731,1.201,0.002204,0.0009561,0.7134,0.1432,0.2578,0.3242,8192,0,1,0.0002987,0.8975,0.9998,0.006115,0.4982,0.3555,0.4121,0.06519,0.001634,256,7,256,32,8192,0.4992,0.03025,0,0.8318,0.8332,21
23,0.04637,0.02697,0.003717,0.1183,0.05319,0.007895,0.01164,0.08782,0.07094,0.902,0.572,1.201,0.002203,0.0009516,0.7025,0.1439,0.2598,0.3262,8192,0,1,0.0004381,0.9026,0.9998,0.006285,0.4986,0.3574,0.4121,0.06738,0.001683,256,7,256,32,8192,0.4996,0.02863,0,0.8314,0.8332,22
24,0.0463,0.02698,0.003735,0.1178,0.05278,0.007869,0.01165,0.08755,0.07083,0.9027,0.571,1.202,0.002194,0.000947,0.6918,0.1436,0.2598,0.3262,8192,0,1,0.0003863,0.9019,0.9998,0.006075,0.4982,0.3574,0.4121,0.06445,0.001635,256,7,256,32,8192,0.4988,0.02987,0,0.8314,0.8332,23
25,0.04523,0.02601,0.003762,0.1171,0.05235,0.007782,0.01163,0.087,0.07046,0.9035,0.5692,1.202,0.002106,0.0009422,0.6813,0.1435,0.2598,0.3223,8192,0,1,0.000454,0.9032,0.9998,0.006439,0.498,0.3555,0.4121,0.06567,0.001622,256,7,256,32,8192,0.4983,0.0309,0,0.8313,0.8332,24
26,0.04532,0.02611,0.00377,0.117,0.05224,0.007841,0.01164,0.08699,0.0707,0.9037,0.5691,1.202,0.002123,0.0009371,0.6709,0.1437,0.2578,0.3242,8192,0,1,0.0003465,0.9078,0.9998,0.006151,0.4985,0.3574,0.4121,0.06726,0.001651,256,7,256,32,8192,0.4987,0.02806,0,0.8317,0.8332,25
27,0.04526,0.02616,0.003797,0.1164,0.05174,0.007816,0.01163,0.08667,0.07059,0.9046,0.5678,1.202,0.002143,0.0009319,0.6607,0.1437,0.2617,0.3281,8192,0,1,0.0004142,0.8937,0.9998,0.006176,0.4983,0.3574,0.4121,0.06604,0.0017,256,7,256,32,8192,0.4987,0.02989,0,0.831,0.8332,26
28,0.04502,0.02596,0.003813,0.1161,0.0516,0.007788,0.01164,0.0864,0.07046,0.9048,0.5667,1.202,0.002093,0.0009265,0.6506,0.1437,0.2598,0.3263,8192,0,1,0.0003624,0.9003,0.9998,0.006282,0.4985,0.3574,0.4121,0.0675,0.001638,256,7,256,32,8192,0.4988,0.02861,0,0.8314,0.8332,27
29,0.04395,0.02502,0.003833,0.1153,0.05102,0.007776,0.01167,0.08583,0.07035,0.9058,0.5648,1.202,0.002041,0.0009209,0.6407,0.1438,0.2598,0.3242,8192,0,1,0.0003903,0.8986,0.9998,0.00663,0.4985,0.3574,0.4121,0.06604,0.001655,256,7,256,32,8192,0.4987,0.02834,0,0.8314,0.8332,28
30,0.04376,0.02493,0.003844,0.1146,0.05058,0.007836,0.01169,0.08547,0.07068,0.9066,0.5636,1.202,0.002033,0.0009151,0.631,0.1439,0.2578,0.3281,8192,0,1,0.0003624,0.9032,0.9998,0.006498,0.4984,0.3555,0.4121,0.0686,0.001639,256,7,256,32,8192,0.4987,0.02877,0,0.8317,0.8332,29
31,0.04344,0.02469,0.003864,0.1141,0.0502,0.00786,0.0117,0.0851,0.07079,0.9073,0.562,1.202,0.001995,0.0009091,0.6214,0.1443,0.2598,0.3263,8192,0,1,0.0004301,0.8955,0.9998,0.006554,0.4987,0.3574,0.4121,0.06897,0.001682,256,7,256,32,8192,0.4987,0.02764,0,0.8313,0.8332,30
32,0.04342,0.02472,0.003873,0.1138,0.04996,0.007811,0.01171,0.08493,0.07059,0.9077,0.5613,1.202,0.002006,0.000903,0.6119,0.1443,0.2598,0.3223,8192,0,1,0.0004421,0.8967,0.9998,0.006019,0.4984,0.3574,0.4121,0.07007,0.001615,256,7,256,32,8192,0.4983,0.02914,0,0.8313,0.8332,31
33,0.04316,0.02447,0.003882,0.1137,0.04991,0.007963,0.01175,0.08487,0.07119,0.9078,0.5612,1.203,0.001979,0.0008966,0.6026,0.1444,0.2598,0.3262,8192,0,1,0.0004062,0.8983,0.9998,0.005493,0.4984,0.3574,0.4121,0.06812,0.001625,256,7,256,32,8192,0.4985,0.0292,0,0.8312,0.8332,32
34,0.04243,0.02385,0.003904,0.1129,0.04943,0.007956,0.01176,0.08438,0.07118,0.9086,0.5596,1.202,0.001926,0.0008901,0.5934,0.1446,0.2598,0.3281,8192,0,1,0.000458,0.8992,0.9998,0.006325,0.4985,0.3574,0.4121,0.06787,0.001671,256,7,256,32,8192,0.4982,0.02867,0,0.8312,0.8332,33
35,0.04275,0.02416,0.003902,0.1131,0.04942,0.007899,0.01173,0.0846,0.07096,0.9087,0.5603,1.202,0.001962,0.0008834,0.5843,0.144,0.2617,0.3223,8192,0,1,0.0004062,0.9023,0.9998,0.006118,0.4985,0.3555,0.4121,0.06494,0.001608,256,7,256,32,8192,0.4989,0.02786,0,0.8311,0.8332,34
36,0.04191,0.02345,0.003907,0.1122,0.04894,0.00787,0.01177,0.08386,0.07082,0.9095,0.5574,1.203,0.0019,0.0008766,0.5754,0.1441,0.2598,0.3263,8192,0,1,0.000446,0.8944,0.9998,0.006299,0.4984,0.3555,0.4121,0.06982,0.001627,256,7,256,32,8192,0.4989,0.02922,0,0.8313,0.8332,35
37,0.04202,0.02356,0.003935,0.1121,0.04879,0.007894,0.01178,0.08393,0.07093,0.9098,0.5579,1.203,0.001909,0.0008696,0.5667,0.1445,0.2617,0.3263,8192,0,1,0.000462,0.9061,0.9998,0.006585,0.4986,0.3574,0.4121,0.06677,0.0017,256,7,256,32,8192,0.4988,0.0284,0,0.8309,0.8332,36
38,0.04132,0.02298,0.003949,0.1114,0.04839,0.007853,0.01177,0.08332,0.07076,0.9105,0.5556,1.203,0.00185,0.0008624,0.558,0.1445,0.2598,0.3301,8192,0,1,0.0003744,0.892,0.9998,0.00634,0.4985,0.3574,0.4121,0.06873,0.001657,256,7,256,32,8192,0.4981,0.02834,0,0.8312,0.8332,37
39,0.04126,0.02298,0.003948,0.1109,0.04812,0.007838,0.01178,0.08309,0.07069,0.911,0.5549,1.203,0.001844,0.000855,0.5495,0.1447,0.2606,0.3242,8192,0,1,0.0004659,0.9034,0.9998,0.006225,0.4984,0.3574,0.4121,0.06946,0.001642,256,7,256,32,8192,0.4985,0.02926,0,0.831,0.8332,38
40,0.04102,0.02283,0.003957,0.1104,0.04764,0.00797,0.01184,0.08296,0.07124,0.9118,0.554,1.203,0.001842,0.0008475,0.5412,0.1445,0.2598,0.332,8192,0,1,0.000462,0.8955,0.9998,0.006426,0.4984,0.3555,0.4121,0.0697,0.001646,256,7,256,32,8192,0.4983,0.02941,0,0.8312,0.8332,39
41,0.0409,0.02274,0.003988,0.1103,0.04743,0.008023,0.01181,0.0829,0.07149,0.9122,0.5539,1.203,0.001834,0.0008399,0.5329,0.1445,0.2598,0.3262,8192,0,1,0.0004261,0.8965,0.9998,0.006032,0.4984,0.3574,0.4121,0.07031,0.00168,256,7,256,32,8192,0.4985,0.02874,0,0.8312,0.8332,40
42,0.04059,0.02251,0.003993,0.1097,0.04716,0.007928,0.01186,0.08248,0.07111,0.9127,0.5524,1.203,0.001821,0.000832,0.5248,0.1445,0.2598,0.3262,8192,0,1,0.0004142,0.8871,0.9998,0.00656,0.4983,0.3555,0.4121,0.06848,0.001688,256,7,256,32,8192,0.4983,0.0294,0,0.8312,0.8332,41
43,0.04012,0.02207,0.004,0.1095,0.04707,0.007924,0.01184,0.08225,0.07109,0.9128,0.5517,1.203,0.001758,0.0008241,0.5168,0.144,0.2578,0.3244,8192,0,1,0.0004739,0.895,0.9998,0.006202,0.4982,0.3555,0.4121,0.06689,0.001633,256,7,256,32,8192,0.4984,0.03061,0,0.8316,0.8332,42
44,0.04031,0.02227,0.004014,0.1094,0.04695,0.007892,0.01185,0.08225,0.07091,0.9131,0.5513,1.203,0.00181,0.000816,0.5089,0.1439,0.2617,0.3262,8192,0,1,0.0004779,0.8978,0.9998,0.006463,0.4981,0.3555,0.4121,0.06665,0.001614,256,7,256,32,8192,0.4986,0.03058,0,0.831,0.8332,43
45,0.04029,0.02231,0.004024,0.1091,0.04665,0.007855,0.01185,0.0821,0.07077,0.9136,0.5509,1.203,0.001792,0.0008077,0.5012,0.1442,0.2598,0.3281,8192,0,1,0.0004301,0.9005,0.9998,0.006505,0.4984,0.3555,0.4121,0.06848,0.001624,256,7,256,32,8192,0.4984,0.02946,0,0.8313,0.8332,44
46,0.03989,0.02198,0.004021,0.1087,0.04643,0.007909,0.01184,0.0818,0.07093,0.914,0.5498,1.203,0.001756,0.0007994,0.4936,0.145,0.2598,0.3223,8192,0,1,0.0003863,0.8921,0.9998,0.00666,0.4985,0.3574,0.4121,0.07043,0.001703,256,7,256,32,8192,0.4979,0.02859,0,0.8311,0.8332,45
47,0.04,0.02205,0.004029,0.1089,0.04657,0.007952,0.01187,0.08191,0.0712,0.9137,0.5502,1.203,0.001759,0.0007908,0.486,0.1447,0.2617,0.3262,8192,0,1,0.0004421,0.9023,0.9998,0.006486,0.4982,0.3555,0.4121,0.06592,0.001695,256,7,256,32,8192,0.4978,0.0299,0,0.8308,0.8332,46
48,0.03948,0.02164,0.004045,0.1082,0.0461,0.007919,0.01186,0.08146,0.07107,0.9146,0.5487,1.203,0.00172,0.0007822,0.4786,0.1444,0.2598,0.3281,8192,0,1,0.0004261,0.901,0.9998,0.00667,0.4983,0.3555,0.4121,0.06897,0.001705,256,7,256,32,8192,0.4981,0.02953,0,0.8312,0.8332,47
49,0.03908,0.02133,0.004054,0.1076,0.04569,0.007914,0.01188,0.08119,0.07098,0.9153,0.5478,1.203,0.00171,0.0007734,0.4713,0.1444,0.2598,0.3262,8192,0,1,0.0004142,0.8962,0.9998,0.00647,0.4982,0.3555,0.4121,0.0708,0.001686,256,7,256,32,8192,0.4973,0.0304,0,0.8312,0.8332,48
50,0.03915,0.02142,0.004057,0.1075,0.0456,0.007947,0.01191,0.08108,0.0712,0.9155,0.547,1.203,0.001742,0.0007645,0.4642,0.1448,0.2598,0.3242,8192,0,1,0.000462,0.8962,0.9998,0.00662,0.4982,0.3574,0.4121,0.06885,0.001674,256,7,256,32,8192,0.4976,0.02982,0,0.8311,0.8332,49
51,0.03913,0.02146,0.004064,0.1071,0.04532,0.007891,0.01191,0.08097,0.07091,0.916,0.5465,1.204,0.001741,0.0007555,0.4571,0.1451,0.2598,0.3281,8192,0,1,0.000446,0.8969,0.9998,0.006556,0.4983,0.3555,0.4121,0.06787,0.001705,256,7,256,32,8192,0.498,0.02989,0,0.8311,0.8332,50
52,0.03908,0.02137,0.00407,0.1074,0.04539,0.00783,0.01188,0.08117,0.07065,0.9159,0.5474,1.203,0.001722,0.0007464,0.4501,0.1448,0.2598,0.3281,8192,0,1,0.000446,0.8926,0.9998,0.005959,0.4984,0.3555,0.4121,0.07214,0.001638,256,7,256,32,8192,0.4988,0.02901,0,0.8312,0.8332,51
53,0.03857,0.02095,0.004082,0.1067,0.0451,0.00805,0.01192,0.08049,0.07157,0.9164,0.5447,1.203,0.00168,0.0007372,0.4433,0.1448,0.2617,0.3262,8192,0,1,0.000446,0.8964,0.9998,0.006412,0.4983,0.3555,0.4121,0.07166,0.001665,256,7,256,32,8192,0.4982,0.02972,0,0.8308,0.8332,52
54,0.03825,0.02067,0.004085,0.1065,0.0449,0.007985,0.01191,0.08054,0.07132,0.9167,0.5452,1.204,0.001654,0.0007279,0.4365,0.1446,0.2598,0.3224,8192,0,1,0.0003863,0.9052,0.9998,0.006182,0.4983,0.3555,0.4121,0.06641,0.001634,256,7,256,32,8192,0.4985,0.02959,0,0.8312,0.8332,53
55,0.03814,0.02067,0.004094,0.1058,0.04446,0.007921,0.01196,0.08002,0.07108,0.9175,0.5431,1.203,0.001617,0.0007184,0.4299,0.1453,0.2617,0.3242,8192,0,1,0.000458,0.9054,0.9998,0.006502,0.4986,0.3574,0.4121,0.06812,0.001674,256,7,256,32,8192,0.4982,0.02786,0,0.8308,0.8332,54
56,0.03817,0.02069,0.004104,0.1059,0.04441,0.007907,0.01193,0.0802,0.07107,0.9176,0.5437,1.203,0.001642,0.0007089,0.4233,0.1446,0.2617,0.3242,8192,0,1,0.000458,0.8927,0.9998,0.006174,0.4983,0.3555,0.4121,0.0697,0.001647,256,7,256,32,8192,0.4979,0.02909,0,0.8309,0.8332,55
57,0.03786,0.02045,0.004107,0.1054,0.04413,0.007978,0.01195,0.0799,0.07131,0.9181,0.5425,1.204,0.001622,0.0006993,0.4169,0.145,0.2617,0.3223,8192,0,1,0.0004859,0.8881,0.9998,0.006403,0.4983,0.3574,0.4121,0.07007,0.001672,256,7,256,32,8192,0.4977,0.0297,0,0.8308,0.8332,56
58,0.038,0.02056,0.00411,0.1056,0.04423,0.007973,0.01195,0.08001,0.07128,0.9179,0.5429,1.203,0.001644,0.0006896,0.4105,0.145,0.2617,0.3203,8192,0,1,0.0005337,0.8989,0.9998,0.00629,0.4983,0.3555,0.4121,0.06909,0.001653,256,7,256,32,8192,0.4981,0.02949,0,0.8308,0.8332,57
59,0.03789,0.02046,0.004119,0.1055,0.04414,0.007964,0.01195,0.08,0.07129,0.9181,0.5429,1.204,0.001615,0.0006798,0.4043,0.1454,0.2617,0.3262,8192,0,1,0.0004819,0.8999,0.9998,0.006594,0.4983,0.3555,0.4121,0.0708,0.001689,256,7,256,32,8192,0.4991,0.02942,0,0.8307,0.8332,58
