序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
1,backbone.stem.0,Conv2d,"[1,1,32,32]","[1,16,32,32]",局部空间特征提取；Conv 1→16，kernel=3×3，stride=1×1，dilation=1×1，groups=1,144,0,147456,294912
2,backbone.stem.1,BatchNorm2d,"[1,16,32,32]","[1,16,32,32]",批归一化，稳定特征分布；affine=True,32,0,,
3,backbone.stem.2,ReLU6,"[1,16,32,32]","[1,16,32,32]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
4,backbone.features.0,InvertedResidual,"[1,16,32,32]","[1,16,32,32]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；带残差相加；计算量由子层统计,0,0,,
5,backbone.features.0.block.0,Conv2d,"[1,16,32,32]","[1,16,32,32]",逐通道空间特征提取；Conv 16→16，kernel=3×3，stride=1×1，dilation=1×1，groups=16,144,0,147456,294912
6,backbone.features.0.block.1,BatchNorm2d,"[1,16,32,32]","[1,16,32,32]",批归一化，稳定特征分布；affine=True,32,0,,
7,backbone.features.0.block.2,ReLU6,"[1,16,32,32]","[1,16,32,32]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
8,backbone.features.0.block.3,Conv2d,"[1,16,32,32]","[1,16,32,32]",通道投影与融合；Conv 16→16，kernel=1×1，stride=1×1，dilation=1×1，groups=1,256,0,262144,524288
9,backbone.features.0.block.4,BatchNorm2d,"[1,16,32,32]","[1,16,32,32]",批归一化，稳定特征分布；affine=True,32,0,,
10,backbone.features.1,InvertedResidual,"[1,16,32,32]","[1,24,16,16]",MobileNetV2 倒残差块：扩展、深度卷积、线性投影；不使用残差；计算量由子层统计,0,0,,
11,backbone.features.1.block.0,Conv2d,"[1,16,32,32]","[1,32,32,32]",通道投影与融合；Conv 16→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,512,0,524288,1048576
12,backbone.features.1.block.1,BatchNorm2d,"[1,32,32,32]","[1,32,32,32]",批归一化，稳定特征分布；affine=True,64,0,,
13,backbone.features.1.block.2,ReLU6,"[1,32,32,32]","[1,32,32,32]",ReLU6 非线性激活，限制移动网络激活范围,0,0,,
14,backbone.features.1.block.3,Conv2d,"[1,32,32,32]","[1,32,16,16]",逐通道空间特征提取；Conv 32→32，kernel=3×3，stride=2×2，dilation=1×1，groups=32,288,0,73728,147456
