epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_neg_p01,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_checkpoint_selection_score,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
1,0.7915,0.03483,1.207,1.313,0.362,0.5865,0.957,1.378,1.061,0.00178,0.8856,0.7693,8192,0,0.02667,0.7693,0
2,0.6201,0.0164,1.027,1.139,0.2899,0.5221,0.8804,1.372,1.07,0.0002987,0.9259,0.7889,8192,0,0.05333,0.7889,0
3,0.5685,0.0129,0.9831,1.088,0.2682,0.5009,0.8473,1.368,1.072,0.0001553,0.9441,0.7954,8192,0,0.08,0.7954,0
4,0.5353,0.0111,0.9574,1.06,0.2493,0.497,0.8439,1.374,1.09,9.558e-05,0.9553,0.7986,8192,0,0.07998,0.7986,0
5,0.5108,0.009811,0.9374,1.04,0.2362,0.4932,0.8461,1.384,1.101,0.0001035,0.9478,0.8011,8192,0,0.07992,0.8011,0
6,0.4916,0.008922,0.9227,1.024,0.2296,0.4837,0.8291,1.377,1.098,7.965e-05,0.9532,0.8034,8192,0,0.07981,0.8034,0
7,0.4751,0.008018,0.9072,1.008,0.2219,0.4796,0.8249,1.383,1.102,6.372e-05,0.9614,0.8055,8192,0,0.07967,0.8055,0
8,0.4619,0.007343,0.8948,0.9953,0.2158,0.4804,0.8161,1.385,1.11,4.779e-05,0.9653,0.8069,8192,0,0.07948,0.8055,1
9,0.4499,0.006839,0.8846,0.9861,0.2141,0.4765,0.8161,1.383,1.109,6.77e-05,0.9594,0.8073,8192,0,0.07925,0.8073,0
10,0.4402,0.006348,0.8755,0.9753,0.2052,0.4739,0.8143,1.391,1.116,9.16e-05,0.9622,0.8094,8192,0,0.07898,0.8094,0
11,0.4301,0.006047,0.8685,0.9705,0.2041,0.4692,0.802,1.388,1.113,1.991e-05,0.9716,0.8106,8192,0,0.07867,0.8094,1
12,0.4213,0.005702,0.861,0.964,0.2032,0.4744,0.8246,1.391,1.119,3.982e-05,0.9664,0.8088,8192,0,0.07832,0.8094,2
13,0.4129,0.005379,0.8528,0.9601,0.2014,0.4688,0.8166,1.387,1.115,1.991e-05,0.9629,0.8097,8192,0,0.07792,0.8094,3
