序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
1,backbone.stem,ContrastAwareStem,"[1,1,32,32]","[1,32,32,32]",融合 3×3 局部纹理和局部对比度两条输入分支；计算量由子层统计,0,0,,
2,backbone.stem.local_branch.0,Conv2d,"[1,1,32,32]","[1,16,32,32]",局部空间特征提取；Conv 1→16，kernel=3×3，stride=1×1，dilation=1×1，groups=1,144,0,147456,294912
3,backbone.stem.local_branch.1,GroupNorm,"[1,16,32,32]","[1,16,32,32]",组归一化；groups=8，channels=16,32,0,,
4,backbone.stem.local_branch.2,SiLU,"[1,16,32,32]","[1,16,32,32]",SiLU 平滑非线性激活,0,0,,
5,backbone.stem.contrast_branch.0,Conv2d,"[1,1,32,32]","[1,16,32,32]",局部空间特征提取；Conv 1→16，kernel=3×3，stride=1×1，dilation=1×1，groups=1,144,0,147456,294912
6,backbone.stem.contrast_branch.1,GroupNorm,"[1,16,32,32]","[1,16,32,32]",组归一化；groups=8，channels=16,32,0,,
7,backbone.stem.contrast_branch.2,SiLU,"[1,16,32,32]","[1,16,32,32]",SiLU 平滑非线性激活,0,0,,
8,backbone.stem.fuse.0,Conv2d,"[1,32,32,32]","[1,32,32,32]",通道投影与融合；Conv 32→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,1024,0,1048576,2097152
9,backbone.stem.fuse.1,GroupNorm,"[1,32,32,32]","[1,32,32,32]",组归一化；groups=8，channels=32,64,0,,
10,backbone.stem.fuse.2,SiLU,"[1,32,32,32]","[1,32,32,32]",SiLU 平滑非线性激活,0,0,,
11,backbone.stage1.0,StableResBlock,"[1,32,32,32]","[1,32,32,32]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,32,0,,
12,backbone.stage1.0.downsample,Identity,"[1,32,32,32]","[1,32,32,32]",恒等映射，保持残差捷径不变,0,0,,
13,backbone.stage1.0.shortcut,Identity,"[1,32,32,32]","[1,32,32,32]",恒等映射，保持残差捷径不变,0,0,,
14,backbone.stage1.0.norm1,GroupNorm,"[1,32,32,32]","[1,32,32,32]",组归一化；groups=8，channels=32,64,0,,
15,backbone.stage1.0.conv1,Conv2d,"[1,32,32,32]","[1,32,32,32]",局部空间特征提取；Conv 32→32，kernel=3×3，stride=1×1，dilation=1×1，groups=1,9216,0,9437184,18874368
16,backbone.stage1.0.norm2,GroupNorm,"[1,32,32,32]","[1,32,32,32]",组归一化；groups=8，channels=32,64,0,,
17,backbone.stage1.0.conv2,Conv2d,"[1,32,32,32]","[1,32,32,32]",局部空间特征提取；Conv 32→32，kernel=3×3，stride=1×1，dilation=1×1，groups=1,9216,0,9437184,18874368
18,backbone.stage1.0.drop_path,DropPath,"[1,32,32,32]","[1,32,32,32]",训练时按样本随机丢弃残差路径，p=0.0,0,0,,
19,backbone.down1,StableResBlock,"[1,32,32,32]","[1,64,16,16]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,64,0,,
20,backbone.down1.downsample,AvgPool2d,"[1,32,32,32]","[1,32,16,16]",平均池化抗混叠下采样；kernel=2，stride=2,0,0,,
21,backbone.down1.shortcut,Conv2d,"[1,32,16,16]","[1,64,16,16]",通道投影与融合；Conv 32→64，kernel=1×1，stride=1×1，dilation=1×1，groups=1,2048,0,524288,1048576
22,backbone.down1.norm1,GroupNorm,"[1,32,16,16]","[1,32,16,16]",组归一化；groups=8，channels=32,64,0,,
23,backbone.down1.conv1,Conv2d,"[1,32,16,16]","[1,64,16,16]",局部空间特征提取；Conv 32→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,18432,0,4718592,9437184
24,backbone.down1.norm2,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,0,,
25,backbone.down1.conv2,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,0,9437184,18874368
26,backbone.down1.drop_path,DropPath,"[1,64,16,16]","[1,64,16,16]",训练时按样本随机丢弃残差路径，p=0.013333333333333334,0,0,,
27,backbone.stage2.0,StableResBlock,"[1,64,16,16]","[1,64,16,16]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,64,0,,
28,backbone.stage2.0.downsample,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
29,backbone.stage2.0.shortcut,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
30,backbone.stage2.0.norm1,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,0,,
31,backbone.stage2.0.conv1,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,0,9437184,18874368
32,backbone.stage2.0.norm2,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,0,,
33,backbone.stage2.0.conv2,Conv2d,"[1,64,16,16]","[1,64,16,16]",局部空间特征提取；Conv 64→64，kernel=3×3，stride=1×1，dilation=1×1，groups=1,36864,0,9437184,18874368
34,backbone.stage2.0.drop_path,DropPath,"[1,64,16,16]","[1,64,16,16]",训练时按样本随机丢弃残差路径，p=0.02666666666666667,0,0,,
35,backbone.stage2.1,StableResBlock,"[1,64,16,16]","[1,64,16,16]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,64,0,,
36,backbone.stage2.1.downsample,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
37,backbone.stage2.1.shortcut,Identity,"[1,64,16,16]","[1,64,16,16]",恒等映射，保持残差捷径不变,0,0,,
38,backbone.stage2.1.norm1,GroupNorm,"[1,64,16,16]","[1,64,16,16]",组归一化；groups=8，channels=64,128,0,,
