epoch,train_loss,train_loss_metric,train_loss_teacher_similarity,train_loss_positive_consistency,train_loss_quantization,train_loss_balance,train_loss_decorrelation,train_positive_hamming,train_mean_abs_bit_balance,train_mean_abs_continuous,train_pos_dist,train_neg_dist,train_lr,train_temperature,val_pos_mean,val_pos_p95,val_pos_p99,val_valid_anchor_count,val_skipped_anchor_count,val_valid_anchor_ratio,val_selected_negative_count,val_same_finger_selected_negative_count,val_cross_finger_selected_negative_count,val_fpr_at_tpr95,val_tpr_at_fpr_1e_4,val_roc_auc,val_eer,val_neg_mean,val_neg_p01,val_neg_p05,val_recall_at_1,val_active_triplet_ratio,val_loss,val_same_finger_pos_mean,val_same_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_same_finger_roc_auc,val_same_finger_eer,val_same_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_neg_p05,val_same_finger_recall_at_1,val_same_finger_active_triplet_ratio,val_same_finger_loss,val_cross_finger_pos_mean,val_cross_finger_fpr_at_tpr95,val_cross_finger_tpr_at_fpr_1e_4,val_cross_finger_roc_auc,val_cross_finger_eer,val_cross_finger_neg_mean,val_cross_finger_neg_p01,val_cross_finger_neg_p05,val_cross_finger_recall_at_1,val_cross_finger_active_triplet_ratio,val_cross_finger_loss,val_batch_count,val_configured_finger_count,val_configured_batch_count,val_configured_batch_size,val_planned_positive_count,val_hard_negative_count_mean,val_bit_one_fraction,val_bit_balance_error,val_constant_bit_ratio,val_checkpoint_selection_score,val_checkpoint_selection_false_acceptance,val_checkpoint_selection_low_fpr_recall,val_checkpoint_selection_hard_negative_recall,val_checkpoint_selection_mean_gap,val_checkpoint_selection_tail_gap,early_stop_best_selection_score,no_improve_epochs
1,0.04832,0.007193,0.002314,0.2184,0.1775,0.01036,0.00887,0.07238,0.07977,0.7077,0.528,1.197,0.0005,0.9848,0.1346,0.2402,0.293,6144,0,1,1.843e+04,4278,1.415e+04,0.001194,0.8516,0.9982,0.01394,0.3835,0.2779,0.3164,0.9971,0.04329,0.000851,0.1346,0.002805,0.9015,0.9975,0.01759,0.3734,0.2656,0.2988,0.9966,0.04341,0.001263,0.1346,0.0007065,0.8516,0.9985,0.01188,0.3865,0.2832,0.3223,0.9978,0.03261,0.0007565,256,7,256,24,6144,3,0.5005,0.05527,0,0.8091,0.9993,0.9015,0.9978,0.2519,0.04297,0.8091,0
2,0.02524,0.006699,0.003824,0.1042,0.05578,0.01684,0.01469,0.07285,0.1036,0.8999,0.5308,1.192,0.001,0.9698,0.1346,0.2363,0.293,6144,0,1,1.843e+04,4216,1.422e+04,0.001411,0.884,0.9982,0.014,0.3845,0.2734,0.3164,0.9972,0.04427,0.0009007,0.1346,0.003795,0.884,0.9975,0.01814,0.3747,0.2598,0.3008,0.9963,0.04629,0.001281,0.1346,0.0007034,0.8936,0.9984,0.01215,0.3874,0.2812,0.3223,0.998,0.03167,0.0007619,256,7,256,24,6144,3,0.4999,0.05322,0,0.8079,0.9993,0.8936,0.998,0.2528,0.04492,0.8091,1
3,0.02152,0.005802,0.003829,0.09036,0.04178,0.01395,0.01532,0.0705,0.09432,0.9249,0.5217,1.196,0.0009999,0.955,0.1348,0.2363,0.2921,6144,0,1,1.843e+04,4329,1.41e+04,0.001519,0.8621,0.9984,0.01282,0.3861,0.2773,0.3164,0.9969,0.04004,0.0008689,0.1348,0.002772,0.8621,0.9976,0.018,0.3761,0.2598,0.2996,0.9963,0.04167,0.001275,0.1348,0.001135,0.8892,0.9986,0.01109,0.3892,0.2871,0.3262,0.9975,0.02923,0.0007625,256,7,256,24,6144,3,0.4993,0.04765,0,0.8075,0.9989,0.8892,0.9975,0.2544,0.05078,0.8091,2
4,0.0195,0.005264,0.003674,0.08351,0.03495,0.01211,0.01558,0.06837,0.08782,0.9371,0.513,1.199,0.0009996,0.9405,0.135,0.2383,0.293,6144,0,1,1.843e+04,4261,1.417e+04,0.001302,0.8853,0.9984,0.01233,0.3871,0.2812,0.3203,0.9969,0.0363,0.000819,0.135,0.004224,0.8853,0.9976,0.017,0.3765,0.2656,0.3027,0.9967,0.0383,0.001233,0.135,0.0004234,0.916,0.9986,0.01019,0.3902,0.293,0.3281,0.9976,0.02799,0.0007501,256,7,256,24,6144,3,0.5014,0.04788,0,0.8136,0.9996,0.916,0.9976,0.2552,0.05469,0.8136,0
5,0.01842,0.005059,0.003639,0.07952,0.03045,0.01125,0.01582,0.06742,0.08465,0.9451,0.509,1.201,0.000999,0.9261,0.135,0.2363,0.291,6144,0,1,1.843e+04,4280,1.415e+04,0.001085,0.8669,0.9984,0.01223,0.388,0.2793,0.3223,0.9976,0.03857,0.0008224,0.135,0.002804,0.8669,0.9976,0.01604,0.3773,0.2637,0.3047,0.997,0.0385,0.001161,0.135,0.0005653,0.9141,0.9986,0.01025,0.3913,0.291,0.3301,0.998,0.02803,0.0007258,256,7,256,24,6144,3,0.4992,0.04507,0,0.8133,0.9994,0.9141,0.998,0.2563,0.05469,0.8136,1
6,0.01757,0.004831,0.003627,0.07672,0.02719,0.01097,0.01597,0.06668,0.0836,0.951,0.5059,1.202,0.0009982,0.912,0.1347,0.2383,0.293,6144,0,1,1.843e+04,4380,1.405e+04,0.001411,0.8643,0.9982,0.01207,0.3878,0.2793,0.3203,0.9971,0.03809,0.0008123,0.1347,0.003653,0.8643,0.9974,0.01603,0.3778,0.2617,0.3027,0.9967,0.04118,0.001236,0.1347,0.0007116,0.8896,0.9984,0.01036,0.391,0.291,0.3262,0.9976,0.02658,0.0006825,256,7,256,24,6144,3,0.5002,0.04537,0,0.8081,0.9993,0.8896,0.9976,0.2562,0.05273,0.8136,2
7,0.01684,0.004541,0.003677,0.07454,0.02467,0.01086,0.01608,0.066,0.08317,0.9555,0.5033,1.203,0.0009972,0.8981,0.1348,0.2363,0.2891,6144,0,1,1.843e+04,4292,1.414e+04,0.0008681,0.8791,0.9984,0.01126,0.3884,0.2832,0.3223,0.9972,0.03581,0.0008144,0.1348,0.00233,0.9072,0.9977,0.01411,0.3776,0.2656,0.3027,0.9966,0.03507,0.001183,0.1348,0.0004243,0.8791,0.9987,0.01004,0.3917,0.2891,0.332,0.9978,0.02637,0.0007031,256,7,256,24,6144,3,0.4987,0.0452,0,0.8119,0.9996,0.9072,0.9978,0.2569,0.05273,0.8136,3
8,0.01658,0.004561,0.003681,0.07345,0.02299,0.01073,0.01603,0.06594,0.08271,0.9585,0.5031,1.203,0.000996,0.8844,0.1349,0.2363,0.293,6144,0,1,1.843e+04,4289,1.414e+04,0.001628,0.8984,0.9984,0.01225,0.3881,0.2812,0.3203,0.9977,0.04069,0.0008009,0.1349,0.003264,0.9115,0.9977,0.01441,0.3771,0.2676,0.3027,0.9974,0.04051,0.001139,0.1349,0.001131,0.8984,0.9986,0.01043,0.3915,0.291,0.3281,0.998,0.0288,0.0006632,256,7,256,24,6144,3,0.4976,0.04312,0,0.8126,0.9989,0.9115,0.998,0.2565,0.05469,0.8136,4
9,0.01626,0.004514,0.003697,0.07225,0.02142,0.01053,0.01611,0.06556,0.08193,0.9614,0.5013,1.203,0.0009945,0.871,0.1348,0.2363,0.293,6144,0,1,1.843e+04,4345,1.409e+04,0.001085,0.908,0.9983,0.01221,0.3883,0.2812,0.3223,0.9977,0.03727,0.0007401,0.1348,0.002762,0.9198,0.9976,0.01644,0.3781,0.2665,0.3047,0.9974,0.03913,0.00105,0.1348,0.0005679,0.908,0.9985,0.01038,0.3915,0.291,0.3281,0.9981,0.02651,0.0006332,256,7,256,24,6144,3,0.5014,0.04479,0,0.8145,0.9994,0.9198,0.9981,0.2566,0.05469,0.8136,5
10,0.0158,0.004267,0.003706,0.0713,0.02012,0.01061,0.01616,0.06534,0.0823,0.9637,0.5004,1.203,0.0009929,0.8577,0.1342,0.2363,0.2902,6144,0,1,1.843e+04,4374,1.406e+04,0.001845,0.9102,0.9982,0.0119,0.387,0.2793,0.3184,0.9966,0.03939,0.0008517,0.1342,0.004572,0.9102,0.9974,0.01834,0.3761,0.2578,0.2988,0.996,0.04001,0.001194,0.1342,0.0009959,0.9191,0.9984,0.01041,0.3904,0.2871,0.3262,0.9971,0.02809,0.0007218,256,7,256,24,6144,3,0.5024,0.04301,0,0.8136,0.999,0.9191,0.9971,0.2562,0.05078,0.8136,6
