epoch,train_loss,train_positive_tail_loss,train_positive_p95,train_positive_p99,val_loss,val_same_finger_loss,val_pos_mean,val_pos_p95,val_neg_mean,val_same_finger_pos_mean,val_same_finger_neg_mean,val_cross_finger_pos_mean,val_cross_finger_neg_mean,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_cross_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_cross_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_cross_finger_recall_at_1,val_checkpoint_selection_score,val_checkpoint_selection_false_acceptance,val_checkpoint_selection_low_fpr_recall,val_checkpoint_selection_hard_negative_recall,val_checkpoint_selection_mean_gap,val_checkpoint_selection_tail_gap,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_selection_score,no_improve_epochs
1,0.5185,0.01651,1.121,1.328,0.2431,0.2472,0.5886,0.9593,1.152,0.5886,1.133,0.5886,1.157,0.8714,-0.08786,0.0131,0.03599,0.007814,0.6567,0.9155,0.967,0.973,0.8043,0.9922,0.9155,0.973,0.2841,0.003718,16384,0,0.02667,0.8043,0
2,0.3647,0.006534,0.953,1.205,0.2047,0.2103,0.5334,0.9038,1.14,0.5334,1.118,0.5334,1.146,0.8497,-0.05415,0.007935,0.02231,0.003885,0.7961,0.853,0.9734,0.9806,0.7983,0.9961,0.853,0.9806,0.3063,0.01685,16384,0,0.05333,0.8043,1
3,0.2875,0.003152,0.8607,1.121,0.1853,0.1861,0.5026,0.8696,1.132,0.5026,1.113,0.5026,1.138,0.8588,-0.01084,0.005412,0.01422,0.002195,0.8839,0.7898,0.9832,0.9854,0.8078,0.9978,0.8839,0.9854,0.3179,0.02449,16384,0,0.08,0.8078,0
4,0.2301,0.001656,0.7891,1.057,0.1768,0.1809,0.4777,0.8372,1.117,0.4777,1.097,0.4777,1.125,0.8372,-3.552e-05,0.00531,0.01113,0.003009,0.9002,0.882,0.9859,0.9885,0.8129,0.997,0.9002,0.9885,0.3235,0.03571,16384,0,0.07998,0.8129,0
5,0.1839,0.000839,0.7372,0.9993,0.1668,0.1717,0.4674,0.8422,1.119,0.4674,1.098,0.4674,1.127,0.8438,0.001598,0.004089,0.009669,0.001944,0.8972,0.8682,0.9873,0.9891,0.8137,0.9981,0.8972,0.9891,0.3297,0.03769,16384,0,0.07992,0.8129,1
6,0.1534,0.0005591,0.7008,0.965,0.1575,0.1619,0.4599,0.839,1.124,0.4599,1.101,0.4599,1.133,0.8437,0.004668,0.004191,0.008679,0.002495,0.8552,0.8004,0.9895,0.991,0.8054,0.9975,0.8552,0.991,0.3363,0.03234,16384,0,0.07981,0.8129,2
7,0.1319,0.0003511,0.6714,0.934,0.1509,0.157,0.4539,0.8348,1.128,0.4539,1.108,0.4539,1.135,0.8339,-0.0009226,0.00413,0.01123,0.001481,0.9086,0.8683,0.99,0.9908,0.8171,0.9985,0.9086,0.9908,0.3406,0.03425,16384,0,0.07967,0.8171,0
8,0.1167,0.0002194,0.6468,0.899,0.1532,0.158,0.4506,0.8257,1.121,0.4506,1.1,0.4506,1.128,0.8307,0.005037,0.005412,0.00753,0.004606,0.8973,0.8347,0.9898,0.9931,0.8135,0.9954,0.8973,0.9931,0.3388,0.03249,16384,0,0.07948,0.8171,1
9,0.1061,0.0001648,0.6302,0.8801,0.1457,0.1543,0.4507,0.8146,1.13,0.4507,1.11,0.4507,1.138,0.8578,0.04323,0.00236,0.004845,0.001447,0.9005,0.8935,0.9928,0.9944,0.8174,0.9986,0.9005,0.9944,0.3434,0.04451,16384,0,0.07925,0.8171,2
10,0.09742,0.0001027,0.6142,0.8564,0.1426,0.1489,0.4461,0.8187,1.131,0.4461,1.11,0.4461,1.138,0.8263,0.007633,0.003377,0.008551,0.001381,0.9268,0.8145,0.9937,0.9947,0.8225,0.9986,0.9268,0.9947,0.3461,0.03931,16384,0,0.07898,0.8225,0
