epoch,train_loss,val_loss,val_same_finger_loss,val_pos_p95,val_same_finger_neg_p01,val_same_finger_tail_gap,val_fpr_at_tpr95,val_same_finger_fpr_at_tpr95,val_same_finger_tpr_at_fpr_1e_4,val_same_finger_recall_at_1,val_valid_anchor_count,val_skipped_anchor_count,lr,early_stop_best_fpr_at_tpr95,no_improve_epochs
1,0.4926,0.2405,0.2481,0.9894,0.8771,-0.1123,0.01917,0.04302,0.7439,0.9561,16384,0,0.02667,0.01917,0
2,0.3481,0.2032,0.2145,0.9431,0.8507,-0.09234,0.01689,0.04537,0.7738,0.9584,16384,0,0.05333,0.01689,0
3,0.2768,0.1884,0.1901,0.8953,0.8569,-0.03848,0.01007,0.01957,0.8776,0.9691,16384,0,0.08,0.01007,0
4,0.2223,0.1732,0.1782,0.878,0.8774,-0.0005389,0.006307,0.01217,0.9084,0.9711,16384,0,0.07998,0.006307,0
5,0.1773,0.1657,0.173,0.8618,0.8347,-0.02708,0.006368,0.01503,0.9056,0.977,16384,0,0.07992,0.006307,1
6,0.1471,0.1574,0.163,0.8582,0.8453,-0.0128,0.004517,0.01194,0.8997,0.9804,16384,0,0.07981,0.004517,0
7,0.1258,0.1548,0.1627,0.8456,0.8289,-0.01672,0.006632,0.01256,0.8826,0.9797,16384,0,0.07967,0.004517,1
8,0.1104,0.1536,0.1585,0.8402,0.8304,-0.009747,0.005005,0.0117,0.9051,0.9839,16384,0,0.07948,0.004517,2
9,0.1002,0.1496,0.1571,0.8222,0.8125,-0.009761,0.004842,0.01249,0.9058,0.9879,16384,0,0.07925,0.004517,3
10,0.09181,0.1482,0.154,0.8207,0.8296,0.00886,0.004089,0.008666,0.9293,0.9886,16384,0,0.07898,0.004089,0
11,0.08364,0.1441,0.1522,0.8183,0.7934,-0.02483,0.004924,0.01169,0.8656,0.9886,16384,0,0.07867,0.004089,1
12,0.07795,0.146,0.1542,0.8124,0.8148,0.002375,0.004517,0.009868,0.9103,0.992,16384,0,0.07832,0.004089,2
13,0.07167,0.1428,0.1524,0.8042,0.8124,0.008174,0.004496,0.009819,0.9086,0.9925,16384,0,0.07792,0.004089,3
14,0.06717,0.1428,0.1538,0.7987,0.8098,0.01108,0.004333,0.008308,0.9128,0.9934,16384,0,0.07749,0.004089,4
15,0.06421,0.1461,0.1529,0.8,0.8037,0.003742,0.004618,0.009403,0.9183,0.9933,16384,0,0.07702,0.004089,5
16,0.06007,0.1397,0.1507,0.7904,0.7692,-0.02113,0.004822,0.01076,0.8862,0.9945,16384,0,0.07651,0.004089,6
17,0.05737,0.1433,0.1519,0.791,0.8089,0.01798,0.002909,0.006638,0.8872,0.9958,16384,0,0.07596,0.002909,0
18,0.05498,0.1421,0.1499,0.7843,0.8048,0.02051,0.002075,0.005478,0.9124,0.9977,16384,0,0.07538,0.002075,0
19,0.05159,0.143,0.1491,0.7832,0.8259,0.0427,0.002401,0.006168,0.9086,0.9979,16384,0,0.07476,0.002075,1
